"","LatBand","Year","SampleID","Species","Abundance"
"1212",55.5,1985,"55.4833_-7.5167","Callionymus lyra",1
"1213",56,1985,"55.8167_-7.9167","Callionymus lyra",7
"1214",56,1985,"55.8667_-8.15","Callionymus lyra",3
"1215",56,1985,"55.9167_-6.7167","Callionymus lyra",25
"1216",56.5,1985,"56.1833_-8.3667","Callionymus lyra",1
"1217",56.5,1985,"56.4_-6.7333","Callionymus lyra",19
"1218",56.5,1985,"56.4333_-7.5833","Callionymus lyra",4
"1219",56.5,1985,"56.4333_-6.7167","Callionymus lyra",8
"1220",57,1985,"56.6667_-7.3833","Callionymus lyra",11
"1221",57,1985,"56.7833_-8.5833","Callionymus lyra",1
"1222",57.5,1985,"57.15_-6.95","Callionymus lyra",2
"1223",57.5,1985,"57.2833_-8.5","Callionymus lyra",12
"1224",57.5,1985,"57.3_-8.4833","Callionymus lyra",5
"1225",58,1985,"57.5333_-9.0833","Callionymus lyra",1
"1226",58,1985,"57.6167_-8.5","Callionymus lyra",7
"1227",58,1985,"57.65_-8.5167","Callionymus lyra",13
"1228",58,1985,"57.9_-6.1833","Callionymus lyra",20
"1229",58,1985,"57.9167_-6.2","Callionymus lyra",2
"1230",58,1985,"57.9833_-8.8667","Callionymus lyra",8
"1231",58.5,1985,"58.0167_-8.8333","Callionymus lyra",1
"1232",58.5,1985,"58.0667_-9.0167","Callionymus lyra",4
"1233",58.5,1985,"58.0833_-9.0167","Callionymus lyra",1
"1234",58.5,1985,"58.1333_-5.7833","Callionymus lyra",1
"1235",58.5,1985,"58.15_-5.7833","Callionymus lyra",2
"1236",58.5,1985,"58.25_-5.9667","Callionymus lyra",7
"1237",58.5,1985,"58.3_-7.3667","Callionymus lyra",5
"1238",58.5,1985,"58.3667_-6.0667","Callionymus lyra",2
"1239",58.5,1985,"58.3833_-6.0667","Callionymus lyra",12
"1240",58.5,1985,"58.45_-5.8667","Callionymus lyra",4
"1241",58.5,1985,"58.4833_-8.6667","Callionymus lyra",2
"1242",59,1985,"58.65_-4.3667","Callionymus lyra",1
"1243",59,1985,"58.7_-7.1833","Callionymus lyra",1
"1244",59,1985,"58.8_-4.1","Callionymus lyra",2
"1245",59.5,1985,"59.05_-5.9167","Callionymus lyra",4
"1246",59.5,1985,"59.3333_-5.3167","Callionymus lyra",1
"1247",55.5,1986,"55.2333_-8.7833","Callionymus lyra",2
"1248",55.5,1986,"55.2667_-5.25","Callionymus lyra",76
"1249",55.5,1986,"55.45_-4.85","Callionymus lyra",3
"1250",55.5,1986,"55.4667_-7.5","Callionymus lyra",1
"1251",56,1986,"55.85_-7.8167","Callionymus lyra",9
"1252",56,1986,"55.9_-8.15","Callionymus lyra",9
"1253",56,1986,"55.9667_-6.6833","Callionymus lyra",2
"1254",56.5,1986,"56.4167_-6.7","Callionymus lyra",1
"1255",57,1986,"56.95_-6.9667","Callionymus lyra",2
"1256",57.5,1986,"57.2833_-8.4833","Callionymus lyra",16
"1257",57.5,1986,"57.5_-9.0833","Callionymus lyra",1
"1258",58,1986,"57.7833_-6.0167","Callionymus lyra",1
"1259",58,1986,"57.7833_-6","Callionymus lyra",7
"1260",58,1986,"57.9167_-6.1833","Callionymus lyra",4
"1261",58.5,1986,"58.0167_-9.0667","Callionymus lyra",1
"1262",58.5,1986,"58.25_-5.9833","Callionymus lyra",2
"1263",58.5,1986,"58.3333_-7.35","Callionymus lyra",10
"1264",58.5,1986,"58.3833_-6.0667","Callionymus lyra",6
"1265",58.5,1986,"58.3833_-5.8","Callionymus lyra",3
"1266",59,1986,"58.6_-5.9333","Callionymus lyra",4
"1267",59,1986,"58.7_-4.1167","Callionymus lyra",1
"1268",59,1986,"58.8333_-6.8667","Callionymus lyra",7
"1269",59.5,1986,"59.1833_-4.0833","Callionymus lyra",1
"1270",59.5,1986,"59.35_-5.25","Callionymus lyra",2
"1271",55.5,1987,"55.25_-8.8","Callionymus lyra",2
"1272",55.5,1987,"55.3_-5.1833","Callionymus lyra",1
"1273",55.5,1987,"55.4333_-9.2","Callionymus lyra",2
"1274",55.5,1987,"55.45_-7.5","Callionymus lyra",4
"1275",56,1987,"55.9667_-6.6833","Callionymus lyra",4
"1276",56.5,1987,"56.4167_-6.7333","Callionymus lyra",18
"1277",57,1987,"56.9833_-6.9833","Callionymus lyra",1
"1278",58,1987,"57.7167_-5.9833","Callionymus lyra",2
"1279",58,1987,"57.9167_-6.2","Callionymus lyra",5
"1280",58,1987,"57.9667_-6.2333","Callionymus lyra",1
"1281",58.5,1987,"58.3167_-7.3333","Callionymus lyra",5
"1282",58.5,1987,"58.3833_-6.0667","Callionymus lyra",2
"1283",58.5,1987,"58.45_-6.05","Callionymus lyra",4
"1284",58.5,1987,"58.45_-5.7333","Callionymus lyra",2
"1285",59,1987,"58.6513_-4.275","Callionymus lyra",1
"1286",59,1987,"58.8167_-6.2833","Callionymus lyra",4
"1287",59.5,1987,"59.5_-5.4","Callionymus lyra",1
"1288",60,1987,"59.7_-4.3","Callionymus lyra",2
"1289",55.5,1988,"55.25_-8.8","Callionymus lyra",2
"1290",55.5,1988,"55.45_-7.55","Callionymus lyra",2
"1291",55.5,1988,"55.4667_-4.8","Callionymus lyra",4
"1292",56,1988,"55.9_-8.1333","Callionymus lyra",2
"1293",56.5,1988,"56.0333_-6.65","Callionymus lyra",1
"1294",56.5,1988,"56.3833_-6.85","Callionymus lyra",17
"1295",56.5,1988,"56.4333_-7.4417","Callionymus lyra",6
"1296",57,1988,"56.6833_-7.3667","Callionymus lyra",5
"1297",57,1988,"56.9667_-7","Callionymus lyra",1
"1298",57.5,1988,"57.1667_-6.9833","Callionymus lyra",2
"1299",58,1988,"58_-6.25","Callionymus lyra",1
"1300",58.5,1988,"58.0833_-5.7","Callionymus lyra",1
"1301",58.5,1988,"58.25_-6.0167","Callionymus lyra",3
"1302",58.5,1988,"58.2667_-6.0167","Callionymus lyra",1
"1303",58.5,1988,"58.2917_-7.38","Callionymus lyra",8
"1304",58.5,1988,"58.4167_-6.0667","Callionymus lyra",46
"1305",59,1988,"58.6667_-4.3167","Callionymus lyra",2
"1306",59.5,1988,"59.3333_-5.1833","Callionymus lyra",1
"1307",59.5,1988,"59.3667_-4.0667","Callionymus lyra",3
"1308",60,1988,"59.7_-4.0667","Callionymus lyra",11
"1309",60,1988,"59.7_-4.05","Callionymus lyra",9
"1310",55.5,1989,"55.2667_-5.2333","Callionymus lyra",14
"1311",55.5,1989,"55.45_-4.8","Callionymus lyra",3
"1312",55.5,1989,"55.5_-4.85","Callionymus lyra",5
"1313",56,1989,"55.85_-7.8","Callionymus lyra",6
"1314",56,1989,"55.8833_-8.15","Callionymus lyra",3
"1315",56.5,1989,"56.4333_-6.6833","Callionymus lyra",6
"1316",57,1989,"56.6167_-7.35","Callionymus lyra",1
"1317",57.5,1989,"57.15_-6.9833","Callionymus lyra",1
"1318",57.5,1989,"57.45_-9.0833","Callionymus lyra",2
"1319",58,1989,"57.9167_-6.2","Callionymus lyra",8
"1320",58,1989,"57.9255_-6.1935","Callionymus lyra",8
"1321",58.5,1989,"58.0667_-5.7","Callionymus lyra",2
"1322",58.5,1989,"58.3_-7.35","Callionymus lyra",11
"1323",58.5,1989,"58.4333_-6.0333","Callionymus lyra",4
"1324",58.5,1989,"58.436_-6.0172","Callionymus lyra",2
"1325",59,1989,"58.6508_-4.3202","Callionymus lyra",2
"1326",59.5,1989,"59.3833_-4.0667","Callionymus lyra",1
"1327",55.5,1990,"55.2_-5.2333","Callionymus lyra",4
"1328",56,1990,"55.9167_-8.1333","Callionymus lyra",1
"1329",56.5,1990,"56.0167_-6.6167","Callionymus lyra",5
"1330",56.5,1990,"56.3167_-8.2667","Callionymus lyra",1
"1331",56.5,1990,"56.4167_-6.7333","Callionymus lyra",4
"1332",58,1990,"57.8167_-5.9667","Callionymus lyra",1
"1333",58.5,1990,"58.0167_-5.7667","Callionymus lyra",1
"1334",58.5,1990,"58.1_-8.95","Callionymus lyra",3
"1335",58.5,1990,"58.2833_-6","Callionymus lyra",1
"1336",58.5,1990,"58.3_-7.3833","Callionymus lyra",1
"1337",58.5,1990,"58.3833_-5.9667","Callionymus lyra",1
"1338",58.5,1990,"58.4_-5.55","Callionymus lyra",9
"1339",58.5,1990,"58.4333_-6.0167","Callionymus lyra",4
"1340",59,1990,"58.6667_-4.1333","Callionymus lyra",2
"1341",59,1990,"58.6833_-4.15","Callionymus lyra",4
"1342",59,1990,"58.7167_-5.3667","Callionymus lyra",5
"1343",59,1990,"58.8167_-6.2833","Callionymus lyra",4
"1344",59.5,1990,"59.3333_-5.2833","Callionymus lyra",2
"1345",59.5,1990,"59.4167_-4.35","Callionymus lyra",8
"1346",55.5,1991,"55.3_-5.1833","Callionymus lyra",2
"1347",55.5,1991,"55.3333_-8.5","Callionymus lyra",4
"1348",55.5,1991,"55.45_-9.2","Callionymus lyra",1
"1349",56,1991,"55.85_-7.7833","Callionymus lyra",1
"1350",56,1991,"55.95_-6.6833","Callionymus lyra",32
"1351",56.5,1991,"56.4133_-6.7","Callionymus lyra",7
"1352",57,1991,"56.9333_-7.0833","Callionymus lyra",1
"1353",57.5,1991,"57.3167_-8.5","Callionymus lyra",2
"1354",58,1991,"57.5833_-9.05","Callionymus lyra",6
"1355",58,1991,"57.7055_-5.9685","Callionymus lyra",2
"1356",58,1991,"57.9167_-6.2","Callionymus lyra",6
"1357",58,1991,"58_-5.8","Callionymus lyra",1
"1358",58,1991,"58_-5.7833","Callionymus lyra",1
"1359",58.5,1991,"58.2499_-5.9801","Callionymus lyra",2
"1360",58.5,1991,"58.3167_-5.865","Callionymus lyra",1
"1361",58.5,1991,"58.3667_-7.35","Callionymus lyra",4
"1362",58.5,1991,"58.3667_-5.95","Callionymus lyra",13
"1363",58.5,1991,"58.3833_-5.6667","Callionymus lyra",1
"1364",58.5,1991,"58.4_-5.6833","Callionymus lyra",2
"1365",58.5,1991,"58.43_-6.05","Callionymus lyra",6
"1366",59,1991,"58.5277_-8.0002","Callionymus lyra",1
"1367",59,1991,"58.5433_-5.8833","Callionymus lyra",4
"1368",59,1991,"58.6667_-4.35","Callionymus lyra",1
"1369",59,1991,"58.8167_-6.2667","Callionymus lyra",2
"1370",59,1991,"58.8333_-6.272","Callionymus lyra",9
"1371",59.5,1991,"59.1667_-5.9833","Callionymus lyra",4
"1372",59.5,1991,"59.2_-6.25","Callionymus lyra",5
"1373",59.5,1991,"59.2167_-4.25","Callionymus lyra",1
"1374",55.5,1992,"55.2167_-5.2","Callionymus lyra",10
"1375",55.5,1992,"55.35_-8.4","Callionymus lyra",4
"1376",55.5,1992,"55.4333_-4.8833","Callionymus lyra",11
"1377",55.5,1992,"55.45_-7.4833","Callionymus lyra",7
"1378",55.5,1992,"55.4833_-9.2833","Callionymus lyra",2
"1379",56,1992,"55.8167_-7.8","Callionymus lyra",32
"1380",56,1992,"55.9333_-6.6833","Callionymus lyra",19
"1381",56.5,1992,"56.2167_-9.15","Callionymus lyra",1
"1382",56.5,1992,"56.45_-6.7","Callionymus lyra",23
"1383",57,1992,"56.5167_-7.5167","Callionymus lyra",3
"1384",57,1992,"56.5667_-8.2167","Callionymus lyra",2
"1385",57,1992,"56.8833_-7.2167","Callionymus lyra",3
"1386",57.5,1992,"57.25_-8.4667","Callionymus lyra",2
"1387",58,1992,"57.5833_-8.5167","Callionymus lyra",5
"1388",58,1992,"57.7333_-5.9167","Callionymus lyra",1
"1389",58,1992,"57.9333_-6.2525","Callionymus lyra",9
"1390",58,1992,"57.9833_-5.814","Callionymus lyra",3
"1391",58.5,1992,"58.0667_-5.7","Callionymus lyra",1
"1392",58.5,1992,"58.2333_-7.3167","Callionymus lyra",2
"1393",58.5,1992,"58.2833_-5.9333","Callionymus lyra",11
"1394",58.5,1992,"58.35_-5.9833","Callionymus lyra",5
"1395",58.5,1992,"58.35_-5.95","Callionymus lyra",7
"1396",58.5,1992,"58.3833_-5.7167","Callionymus lyra",8
"1397",58.5,1992,"58.4333_-6.0333","Callionymus lyra",3
"1398",59,1992,"58.5833_-5.6333","Callionymus lyra",25
"1399",59,1992,"58.7132_-4.4333","Callionymus lyra",1
"1400",59,1992,"58.7667_-6.1667","Callionymus lyra",2
"1401",55.5,1993,"55.3833_-8.4333","Callionymus lyra",22
"1402",55.5,1993,"55.45_-9.2167","Callionymus lyra",1
"1403",55.5,1993,"55.45_-7.5","Callionymus lyra",2
"1404",55.5,1993,"55.45_-4.8","Callionymus lyra",6
"1405",56,1993,"55.8167_-8.2333","Callionymus lyra",2
"1406",56,1993,"55.8167_-7.6667","Callionymus lyra",8
"1407",56,1993,"55.9333_-6.6833","Callionymus lyra",17
"1408",56.5,1993,"56.45_-7.45","Callionymus lyra",1
"1409",56.5,1993,"56.45_-6.6833","Callionymus lyra",1
"1410",57,1993,"56.6167_-7.35","Callionymus lyra",4
"1411",57,1993,"56.8_-6.8333","Callionymus lyra",4
"1412",57.5,1993,"57.15_-6.9833","Callionymus lyra",1
"1413",57.5,1993,"57.25_-8.4667","Callionymus lyra",30
"1414",58,1993,"57.5667_-8.5167","Callionymus lyra",48
"1415",58,1993,"57.6833_-9.0833","Callionymus lyra",6
"1416",58,1993,"57.7667_-5.9833","Callionymus lyra",5
"1417",58,1993,"57.9667_-6.2333","Callionymus lyra",34
"1418",58,1993,"57.9667_-6.2167","Callionymus lyra",3
"1419",58.5,1993,"58.05_-5.7333","Callionymus lyra",1
"1420",58.5,1993,"58.2667_-7.35","Callionymus lyra",2
"1421",58.5,1993,"58.2833_-6","Callionymus lyra",8
"1422",58.5,1993,"58.3667_-5.9667","Callionymus lyra",2
"1423",58.5,1993,"58.3833_-5.9833","Callionymus lyra",4
"1424",58.5,1993,"58.3833_-5.7","Callionymus lyra",14
"1425",58.5,1993,"58.4167_-6.0167","Callionymus lyra",5
"1426",59,1993,"58.5833_-5.6333","Callionymus lyra",15
"1427",59,1993,"58.6333_-7.25","Callionymus lyra",6
"1428",59,1993,"58.7667_-6.15","Callionymus lyra",16
"1429",59.5,1993,"59.25_-4.2833","Callionymus lyra",2
"1430",55.5,1994,"55.2833_-5.1667","Callionymus lyra",24
"1431",55.5,1994,"55.3833_-8.4","Callionymus lyra",38
"1432",55.5,1994,"55.45_-9.2","Callionymus lyra",8
"1433",55.5,1994,"55.45_-4.7833","Callionymus lyra",5
"1434",56,1994,"55.8333_-7.7667","Callionymus lyra",8
"1435",56,1994,"55.9833_-6.6","Callionymus lyra",4
"1436",56.5,1994,"56.2333_-8.35","Callionymus lyra",1
"1437",56.5,1994,"56.3667_-6.8167","Callionymus lyra",13
"1438",56.5,1994,"56.4982_-7.5213","Callionymus lyra",7
"1439",57,1994,"56.5833_-8.5167","Callionymus lyra",2
"1440",57.5,1994,"57.2333_-8.4667","Callionymus lyra",6
"1441",58,1994,"57.6272_-9.1147","Callionymus lyra",4
"1442",58,1994,"57.7833_-5.95","Callionymus lyra",1
"1443",58,1994,"57.9833_-6.2333","Callionymus lyra",4
"1444",58,1994,"58_-9.0667","Callionymus lyra",2
"1445",58.5,1994,"58.2167_-7.3167","Callionymus lyra",2
"1446",58.5,1994,"58.2667_-6","Callionymus lyra",4
"1447",58.5,1994,"58.3333_-5.9667","Callionymus lyra",5
"1448",58.5,1994,"58.3667_-5.9667","Callionymus lyra",18
"1449",58.5,1994,"58.3667_-5.7667","Callionymus lyra",6
"1450",58.5,1994,"58.4_-5.6","Callionymus lyra",3
"1451",58.5,1994,"58.4167_-6.0167","Callionymus lyra",3
"1452",59,1994,"58.6167_-5.6","Callionymus lyra",19
"1453",59,1994,"58.7_-4.4","Callionymus lyra",1
"1454",59,1994,"58.7_-4.3167","Callionymus lyra",4
"1455",59,1994,"58.8167_-6.2833","Callionymus lyra",33
"1456",59.5,1994,"59.25_-4.3","Callionymus lyra",1
"1457",59.5,1994,"59.3333_-6.3667","Callionymus lyra",2
"1458",59.5,1994,"59.35_-5.1833","Callionymus lyra",1
"1459",55.5,1995,"55.2333_-5.1833","Callionymus lyra",2
"1460",55.5,1995,"55.4167_-4.8667","Callionymus lyra",1
"1461",56,1995,"55.9667_-6.6333","Callionymus lyra",2
"1462",56.5,1995,"56.4833_-7.5167","Callionymus lyra",3
"1463",57,1995,"56.6167_-8.4","Callionymus lyra",2
"1464",57,1995,"56.6167_-7.35","Callionymus lyra",3
"1465",58,1995,"57.5833_-8.5","Callionymus lyra",64
"1466",58,1995,"57.6167_-9.1","Callionymus lyra",2
"1467",58.5,1995,"58.2833_-6","Callionymus lyra",3
"1468",58.5,1995,"58.3667_-5.9333","Callionymus lyra",2
"1469",58.5,1995,"58.3833_-5.6","Callionymus lyra",1
"1470",55.5,1996,"55.3_-5.1667","Callionymus lyra",2
"1471",55.5,1996,"55.3667_-8.45","Callionymus lyra",3
"1472",56,1996,"55.8333_-7.7667","Callionymus lyra",2
"1473",56,1996,"55.9167_-6.6833","Callionymus lyra",4
"1474",56.5,1996,"56.1833_-9.1","Callionymus lyra",2
"1475",56.5,1996,"56.1833_-7.3333","Callionymus lyra",5
"1476",56.5,1996,"56.3667_-8.5167","Callionymus lyra",2
"1477",56.5,1996,"56.3667_-6.8167","Callionymus lyra",10
"1478",57,1996,"56.5833_-7.4667","Callionymus lyra",2
"1479",57,1996,"56.6_-8.4167","Callionymus lyra",2
"1480",57,1996,"56.8_-6.8333","Callionymus lyra",1
"1481",57.5,1996,"57.2333_-8.45","Callionymus lyra",1
"1482",58,1996,"57.6333_-8.5167","Callionymus lyra",68
"1483",58,1996,"57.7333_-9.0833","Callionymus lyra",4
"1484",58,1996,"57.9667_-6.2333","Callionymus lyra",7
"1485",58.5,1996,"58.0333_-8.8666","Callionymus lyra",4
"1486",58.5,1996,"58.3333_-5.9833","Callionymus lyra",6
"1487",58.5,1996,"58.35_-5.9833","Callionymus lyra",1
"1488",58.5,1996,"58.3833_-5.6167","Callionymus lyra",3
"1489",58.5,1996,"58.4167_-6.0167","Callionymus lyra",6
"1490",59,1996,"58.5167_-8.0167","Callionymus lyra",8
"1491",59,1996,"58.6167_-5.6","Callionymus lyra",7
"1492",59,1996,"59_-6.8833","Callionymus lyra",19
"1493",59.5,1996,"59.35_-5.2","Callionymus lyra",2
"1503",55.5,1997,"55.3667_-8.45","Callionymus lyra",13
"1504",55.5,1997,"55.4333_-9.1833","Callionymus lyra",6
"1505",55.5,1997,"55.45_-7.5","Callionymus lyra",1
"1506",55.5,1997,"55.45_-4.7833","Callionymus lyra",4
"1507",56,1997,"55.7667_-9","Callionymus lyra",4
"1508",56,1997,"55.8333_-7.75","Callionymus lyra",14
"1509",56,1997,"55.9167_-6.7","Callionymus lyra",3
"1510",56.5,1997,"56.2167_-7.2167","Callionymus lyra",3
"1511",57,1997,"56.7667_-6.9167","Callionymus lyra",3
"1512",57.5,1997,"57.2333_-8.4667","Callionymus lyra",2
"1513",58,1997,"57.55_-8.5","Callionymus lyra",6
"1514",58,1997,"57.6167_-9.1","Callionymus lyra",3
"1515",58,1997,"57.7333_-5.9667","Callionymus lyra",3
"1516",58,1997,"57.9167_-6.1833","Callionymus lyra",6
"1517",58,1997,"58_-5.7833","Callionymus lyra",4
"1518",58.5,1997,"58.2_-7.3167","Callionymus lyra",7
"1519",58.5,1997,"58.2667_-6","Callionymus lyra",1
"1520",58.5,1997,"58.3833_-5.7167","Callionymus lyra",2
"1521",59,1997,"58.5667_-5.6","Callionymus lyra",9
"1522",59,1997,"58.6_-5.6","Callionymus lyra",4
"1523",59,1997,"58.7_-4.3167","Callionymus lyra",3
"1524",59,1997,"58.8_-6.9","Callionymus lyra",2
"1525",59,1997,"59_-6.8667","Callionymus lyra",5
"1526",59.5,1997,"59.3333_-5.0333","Callionymus lyra",3
"1538",55.5,1998,"55.2833_-5.1833","Callionymus lyra",1
"1539",55.5,1998,"55.3167_-8.4833","Callionymus lyra",12
"1540",55.5,1998,"55.4333_-9.15","Callionymus lyra",12
"1541",56,1998,"55.8167_-8.2333","Callionymus lyra",6
"1542",56,1998,"55.8167_-7.65","Callionymus lyra",32
"1543",56,1998,"55.9667_-6.6333","Callionymus lyra",5
"1544",56.5,1998,"56.45_-7.45","Callionymus lyra",3
"1545",57,1998,"56.6_-8.4167","Callionymus lyra",1
"1546",57,1998,"56.6_-7.3667","Callionymus lyra",1
"1547",57.5,1998,"57.2167_-8.4667","Callionymus lyra",26
"1548",58,1998,"57.55_-8.5","Callionymus lyra",174
"1549",58,1998,"57.6167_-9.0833","Callionymus lyra",20
"1550",58,1998,"57.7833_-6","Callionymus lyra",1
"1551",58,1998,"57.9667_-6.2167","Callionymus lyra",8
"1552",58.5,1998,"58.0167_-9.05","Callionymus lyra",10
"1553",58.5,1998,"58.0167_-8.8667","Callionymus lyra",6
"1554",58.5,1998,"58.35_-5.9833","Callionymus lyra",2
"1555",58.5,1998,"58.3667_-5.7333","Callionymus lyra",2
"1556",58.5,1998,"58.4167_-6.0167","Callionymus lyra",3
"1557",59,1998,"58.6_-5.6","Callionymus lyra",3
"1558",59,1998,"58.7_-4.3167","Callionymus lyra",1
"1559",59,1998,"58.7833_-6.15","Callionymus lyra",3
"1560",59,1998,"59_-6.85","Callionymus lyra",12
"1561",59.5,1998,"59.3333_-5.2167","Callionymus lyra",10
"1575",55.5,1999,"55.2667_-5.1833","Callionymus lyra",4
"1576",55.5,1999,"55.3_-8.4833","Callionymus lyra",8
"1577",55.5,1999,"55.4167_-4.8667","Callionymus lyra",6
"1578",55.5,1999,"55.4333_-9.2","Callionymus lyra",4
"1579",55.5,1999,"55.45_-4.8167","Callionymus lyra",2
"1580",56.5,1999,"56.4167_-6.7333","Callionymus lyra",2
"1581",56.5,1999,"56.4833_-7.4833","Callionymus lyra",6
"1582",58,1999,"57.5667_-8.5","Callionymus lyra",2
"1583",58,1999,"57.6167_-9.1","Callionymus lyra",2
"1584",58,1999,"57.7667_-6","Callionymus lyra",2
"1585",58,1999,"57.95_-6.2","Callionymus lyra",4
"1586",58.5,1999,"58.2667_-7.3667","Callionymus lyra",4
"1587",58.5,1999,"58.3_-5.9833","Callionymus lyra",4
"1588",58.5,1999,"58.3833_-5.7","Callionymus lyra",2
"1589",58.5,1999,"58.3833_-5.6333","Callionymus lyra",4
"1590",58.5,1999,"58.4_-6","Callionymus lyra",8
"1591",59.5,1999,"59.05_-6.75","Callionymus lyra",12
"1592",59.5,1999,"59.3333_-5.0833","Callionymus lyra",12
"1606",55.5,2000,"55.2667_-5.1833","Callionymus lyra",2
"1607",55.5,2000,"55.3167_-8.45","Callionymus lyra",2
"1608",55.5,2000,"55.45_-4.8333","Callionymus lyra",4
"1609",56,2000,"55.8167_-7.7333","Callionymus lyra",8
"1610",56,2000,"55.9167_-6.6667","Callionymus lyra",14
"1611",56.5,2000,"56.4_-6.7333","Callionymus lyra",6
"1612",57,2000,"56.6167_-7.3667","Callionymus lyra",2
"1613",57,2000,"56.7833_-6.9","Callionymus lyra",4
"1614",57.5,2000,"57.1667_-7","Callionymus lyra",2
"1615",58,2000,"57.5667_-8.5","Callionymus lyra",28
"1616",58,2000,"57.7833_-6","Callionymus lyra",2
"1617",58,2000,"57.95_-6.2167","Callionymus lyra",4
"1618",58,2000,"57.9667_-6.2167","Callionymus lyra",4
"1619",58.5,2000,"58.0167_-8.85","Callionymus lyra",4
"1620",58.5,2000,"58.0167_-5.7667","Callionymus lyra",2
"1621",58.5,2000,"58.0333_-9.0167","Callionymus lyra",2
"1622",58.5,2000,"58.2667_-7.35","Callionymus lyra",2
"1623",58.5,2000,"58.3167_-6","Callionymus lyra",4
"1624",58.5,2000,"58.3167_-5.9833","Callionymus lyra",4
"1625",58.5,2000,"58.4_-6","Callionymus lyra",52
"1626",58.5,2000,"58.4_-5.6333","Callionymus lyra",6
"1627",59,2000,"58.6333_-7.2833","Callionymus lyra",2
"1628",59,2000,"58.7167_-4.3333","Callionymus lyra",4
"1629",59,2000,"58.8_-6.2","Callionymus lyra",4
"1643",55.5,2001,"55.4652_-7.6202","Callionymus lyra",4
"1644",56,2001,"55.8238_-8.2635","Callionymus lyra",24
"1645",56,2001,"55.9108_-6.718","Callionymus lyra",2
"1646",56.5,2001,"56.387_-6.7977","Callionymus lyra",2
"1647",56.5,2001,"56.4465_-7.4522","Callionymus lyra",6
"1648",57,2001,"56.6073_-8.5155","Callionymus lyra",2
"1649",57,2001,"56.765_-6.936","Callionymus lyra",2
"1650",57.5,2001,"57.0973_-6.9695","Callionymus lyra",8
"1651",58,2001,"57.9213_-6.1945","Callionymus lyra",2
"1652",58.5,2001,"58.2823_-7.3663","Callionymus lyra",4
"1653",58.5,2001,"58.2943_-6.0087","Callionymus lyra",4
"1654",58.5,2001,"58.4107_-6.0065","Callionymus lyra",2
"1655",59,2001,"58.5227_-8.0418","Callionymus lyra",2
"1656",59,2001,"58.7128_-4.4427","Callionymus lyra",2
"1657",59,2001,"58.7858_-6.1443","Callionymus lyra",2
"1658",59.5,2001,"59.0358_-6.8007","Callionymus lyra",4
"1659",59.5,2001,"59.2287_-4.0593","Callionymus lyra",2
"1660",59.5,2001,"59.3435_-5.1167","Callionymus lyra",8
"1672",55.5,2002,"55.3527_-8.4618","Callionymus lyra",18
"1673",55.5,2002,"55.4195_-4.8673","Callionymus lyra",12
"1674",55.5,2002,"55.4543_-9.2048","Callionymus lyra",16
"1675",55.5,2002,"55.4552_-7.5003","Callionymus lyra",2
"1676",56,2002,"55.8217_-8.2595","Callionymus lyra",4
"1677",56,2002,"55.8225_-7.677","Callionymus lyra",4
"1678",56,2002,"55.9487_-6.6495","Callionymus lyra",22
"1679",56.5,2002,"56.3758_-6.801","Callionymus lyra",32
"1680",56.5,2002,"56.4815_-7.4962","Callionymus lyra",2
"1681",57,2002,"56.7627_-6.9368","Callionymus lyra",2
"1682",58,2002,"57.685_-9.0833","Callionymus lyra",4
"1683",58,2002,"57.7437_-5.9797","Callionymus lyra",2
"1684",58.5,2002,"58.0477_-5.7477","Callionymus lyra",2
"1685",58.5,2002,"58.287_-7.3717","Callionymus lyra",12
"1686",58.5,2002,"58.3185_-5.9992","Callionymus lyra",4
"1687",58.5,2002,"58.395_-5.6378","Callionymus lyra",4
"1688",58.5,2002,"58.4132_-6.0163","Callionymus lyra",6
"1689",59,2002,"58.5467_-5.5833","Callionymus lyra",8
"1690",59,2002,"58.6663_-7.2448","Callionymus lyra",4
"1691",59,2002,"58.6778_-4.1742","Callionymus lyra",6
"1692",59,2002,"58.8138_-6.27","Callionymus lyra",4
"1693",59.5,2002,"59.2303_-4.078","Callionymus lyra",2
"1694",59.5,2002,"59.256_-6.4513","Callionymus lyra",2
"1695",59.5,2002,"59.3442_-5.1403","Callionymus lyra",14
"1708",55.5,2003,"55.4548_-4.8313","Callionymus lyra",4
"1709",56,2003,"55.8287_-9.0057","Callionymus lyra",2
"1710",56,2003,"55.945_-6.6453","Callionymus lyra",24
"1711",56.5,2003,"56.353_-8.5073","Callionymus lyra",4
"1712",56.5,2003,"56.4045_-6.7687","Callionymus lyra",6
"1713",56.5,2003,"56.4762_-7.494","Callionymus lyra",6
"1714",57,2003,"56.6263_-7.3635","Callionymus lyra",2
"1715",57.5,2003,"57.3035_-8.46","Callionymus lyra",4
"1716",57.5,2003,"57.3102_-9.0625","Callionymus lyra",2
"1717",58,2003,"57.9275_-6.2082","Callionymus lyra",4
"1718",58.5,2003,"58.0237_-5.7643","Callionymus lyra",2
"1719",58.5,2003,"58.0477_-9.035","Callionymus lyra",2
"1720",58.5,2003,"58.2947_-6.0105","Callionymus lyra",2
"1721",58.5,2003,"58.3708_-6.0175","Callionymus lyra",10
"1722",58.5,2003,"58.3932_-5.6268","Callionymus lyra",4
"1723",58.5,2003,"58.4132_-6.0183","Callionymus lyra",2
"1724",59,2003,"58.545_-5.5678","Callionymus lyra",2
